Log_name,Pos,Event_type,Server_id,End_log_pos,Info
binlog.000336,4,Format_desc,1,126,"Server ver: 8.0.46-0ubuntu0.24.04.3, Binlog ver: 4"
binlog.000336,126,Previous_gtids,1,157,
binlog.000336,157,Anonymous_Gtid,1,236,"SET @@SESSION.GTID_NEXT= 'ANONYMOUS'"
binlog.000336,236,Query,1,325,BEGIN
binlog.000336,325,Table_map,1,406,"table_id: 87 (db_colevueltasv2.notificaciones)"
binlog.000336,406,Write_rows,1,462,"table_id: 87 flags: STMT_END_F"
binlog.000336,462,Xid,1,493,"COMMIT /* xid=10 */"
binlog.000336,493,Anonymous_Gtid,1,572,"SET @@SESSION.GTID_NEXT= 'ANONYMOUS'"
binlog.000336,572,Query,1,664,BEGIN
binlog.000336,664,Table_map,1,733,"table_id: 102 (casa_musica.reporte_ventas)"
